  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  48.000     0.000    0.000     4.686   4.938   0.000  4.3734937206e-04
  48.000     0.000    0.000     4.727   4.981   0.000  4.2007671190e-04
  48.000     0.000    0.000     4.767   5.023   0.000  4.1042745027e-04
  48.000     0.000    0.000     4.807   5.066   0.000  4.0088773155e-04
  48.000     0.000    0.000     4.848   5.108   0.000  3.9146488098e-04
  48.000     0.000    0.000     4.888   5.151   0.000  3.8216399162e-04
  48.000     0.000    0.000     4.928   5.193   0.000  3.7299225271e-04
  48.000     0.000    0.000     4.969   5.236   0.000  3.6395273569e-04
  48.000     0.000    0.000     5.009   5.279   0.000  3.5505070883e-04
  48.000     0.000    0.000     5.050   5.321   0.000  3.4629008280e-04
  48.000     0.000    0.000     5.090   5.364   0.000  3.3767354218e-04
  48.000     0.000    0.000     5.130   5.406   0.000  3.2920573392e-04
  48.000     0.000    0.000     5.171   5.449   0.000  3.2088776800e-04
  48.000     0.000    0.000     5.211   5.491   0.000  3.1272260575e-04
  48.000     0.000    0.000     5.252   5.534   0.000  3.0471162825e-04
  48.000     0.000    0.000     5.292   5.577   0.000  2.9685689705e-04
  48.000     0.000    0.000     5.332   5.619   0.000  2.8916045117e-04
  48.000     0.000    0.000     5.373   5.662   0.000  2.8162131408e-04
  48.000     0.000    0.000     5.413   5.704   0.000  2.7424203589e-04
  48.000     0.000    0.000     5.454   5.747   0.000  2.6702172617e-04
  48.000     0.000    0.000     5.494   5.789   0.000  2.5996122701e-04
  48.000     0.000    0.000     5.534   5.832   0.000  2.5306049686e-04
  48.000     0.000    0.000     5.575   5.875   0.000  2.4631917637e-04
  48.000     0.000    0.000     5.615   5.917   0.000  2.3973631576e-04
  48.000     0.000    0.000     5.656   5.960   0.000  2.3331176556e-04
  48.000     0.000    0.000     5.696   6.002   0.000  2.2704470879e-04
  48.000     0.000    0.000     5.736   6.045   0.000  2.2093366746e-04
  48.000     0.000    0.000     5.777   6.087   0.000  2.1497850699e-04
  48.000     0.000    0.000     5.817   6.130   0.000  2.0917704038e-04
  48.000     0.000    0.000     5.858   6.172   0.000  2.0352801808e-04
  48.000     0.000    0.000     5.898   6.215   0.000  1.9803065189e-04
  48.000     0.000    0.000     5.938   6.258   0.000  1.9268272893e-04
  48.000     0.000    0.000     5.979   6.300   0.000  1.8748260397e-04
  48.000     0.000    0.000     6.019   6.343   0.000  1.8242928966e-04

  48.500     0.000    0.000     2.020   2.128   0.000  7.7608513376e-04
  48.500     0.000    0.000     2.060   2.171   0.000  8.2127562813e-04
  48.500     0.000    0.000     2.101   2.214   0.000  8.6633574033e-04
  48.500     0.000    0.000     2.141   2.256   0.000  9.1103975995e-04
  48.500     0.000    0.000     2.181   2.299   0.000  9.5572503442e-04
  48.500     0.000    0.000     2.222   2.341   0.000  1.0136502664e-03
  48.500     0.000    0.000     2.262   2.384   0.000  1.0704690970e-03
  48.500     0.000    0.000     2.303   2.426   0.000  1.1257282885e-03
  48.500     0.000    0.000     2.343   2.469   0.000  1.1789795012e-03
  48.500     0.000    0.000     2.383   2.512   0.000  1.2297871455e-03
  48.500     0.000    0.000     2.424   2.554   0.000  1.2777358911e-03
  48.500     0.000    0.000     2.464   2.597   0.000  1.3224335255e-03
  48.500     0.000    0.000     2.505   2.639   0.000  1.3635204912e-03
  48.500     0.000    0.000     2.545   2.682   0.000  1.4006760295e-03
  48.500     0.000    0.000     2.585   2.724   0.000  1.4336195720e-03
  48.500     0.000    0.000     2.626   2.767   0.000  1.4621176447e-03
  48.500     0.000    0.000     2.666   2.810   0.000  1.4859863625e-03
  48.500     0.000    0.000     2.707   2.852   0.000  1.5050944144e-03
  48.500     0.000    0.000     2.747   2.895   0.000  1.5193600627e-03
  48.500     0.000    0.000     2.787   2.937   0.000  1.5287552884e-03
  48.500     0.000    0.000     2.828   2.980   0.000  1.5333047317e-03
  48.500     0.000    0.000     2.868   3.022   0.000  1.5330754965e-03
  48.500     0.000    0.000     2.909   3.065   0.000  1.5281845251e-03
  48.500     0.000    0.000     2.949   3.108   0.000  1.5187841183e-03
  48.500     0.000    0.000     2.989   3.150   0.000  1.5050660534e-03
  48.500     0.000    0.000     3.030   3.193   0.000  1.4872499416e-03
  48.500     0.000    0.000     3.070   3.235   0.000  1.4655837727e-03
  48.500     0.000    0.000     3.111   3.278   0.000  1.4403321437e-03
  48.500     0.000    0.000     3.151   3.320   0.000  1.4182258646e-03
  48.500     0.000    0.000     3.191   3.363   0.000  1.4066942067e-03
  48.500     0.000    0.000     3.232   3.406   0.000  1.3930978055e-03
  48.500     0.000    0.000     3.272   3.448   0.000  1.3775523706e-03
  48.500     0.000    0.000     3.313   3.491   0.000  1.3601699340e-03
  48.500     0.000    0.000     3.353   3.533   0.000  1.3410682435e-03
  48.500     0.000    0.000     3.393   3.576   0.000  1.3203704099e-03
  48.500     0.000    0.000     3.434   3.618   0.000  1.2981927490e-03
  48.500     0.000    0.000     3.474   3.661   0.000  1.2746553720e-03
  48.500     0.000    0.000     3.515   3.703   0.000  1.2498796497e-03
  48.500     0.000    0.000     3.555   3.746   0.000  1.2239839970e-03
  48.500     0.000    0.000     3.595   3.789   0.000  1.1970829476e-03
  48.500     0.000    0.000     3.636   3.831   0.000  1.1692929279e-03
  48.500     0.000    0.000     3.676   3.874   0.000  1.1407238407e-03
  48.500     0.000    0.000     3.717   3.916   0.000  1.1114864740e-03
  48.500     0.000    0.000     3.757   3.959   0.000  1.0816846864e-03
  48.500     0.000    0.000     3.797   4.001   0.000  1.0514205601e-03
  48.500     0.000    0.000     3.838   4.044   0.000  1.0207944422e-03
  48.500     0.000    0.000     3.878   4.087   0.000  9.8990082833e-04
  48.500     0.000    0.000     3.919   4.129   0.000  9.5882819258e-04
  48.500     0.000    0.000     3.959   4.172   0.000  9.2766281969e-04
  48.500     0.000    0.000     3.999   4.214   0.000  8.9648843372e-04
