  r_x        r_y      r_z       E_MG_1  E_MG_2  E_NP   E_T (eV)
  48.500     0.000    0.000     5.373   5.662   2.350  1.6757295382e-04
  48.500     0.000    0.000     5.413   5.704   2.350  1.6236157118e-04
  48.500     0.000    0.000     5.454   5.747   2.350  1.5728076218e-04
  48.500     0.000    0.000     5.494   5.789   2.350  1.5233006989e-04
  48.500     0.000    0.000     5.534   5.832   2.350  1.4750861262e-04
  48.500     0.000    0.000     5.575   5.875   2.350  1.4281594653e-04
  48.500     0.000    0.000     5.615   5.917   2.350  1.3825116238e-04
  48.500     0.000    0.000     5.656   5.960   2.350  1.3381295370e-04
  48.500     0.000    0.000     5.696   6.002   2.350  1.2950042691e-04
  48.500     0.000    0.000     5.736   6.045   2.350  1.2531232622e-04
